"","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Trinidad and Tobago","242.06","236.65","232.41","230.29","229.87","229.45","229.03","228.61","228.19"
"Tunisia","643.98","667.85","687.43","695.08","696.61","698.14","699.67","701.20","702.73"
"Türkiye","19783.48","20148.35","21083.08","21630.30","21630.30","21752.46","21908.36","22064.36","22220.36"
"Turkmenistan (Desk study)","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00"
"Turks and Caicos Islands (Desk study)","10.52","10.52","10.52","10.52","10.52","10.52","10.52","10.52","10.52"
"Tuvalu","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Uganda","3575.47","3162.95","2750.42","2544.16","2502.91","2461.66","2420.41","2379.15","2337.90"
"Ukraine","9274.00","9510.00","9548.00","9657.00","9664.00","9671.00","9678.00","9684.00","9690.00"
"United Arab Emirates (Desk study)","245.00","309.43","317.30","317.30","317.30","317.30","317.30","317.30","317.30"
"United Kingdom of Great Britain and Northern Ireland","2778.00","2954.00","3059.00","3155.00","3159.00","3164.00","3173.00","3182.00","3190.00"
"United Republic of Tanzania","57390.01","53670.01","49950.01","48090.00","47621.00","47152.00","46683.00","46214.00","45745.00"
"United States of America","302450.00","303536.00","308720.00","310095.00","310095.00","309795.00","309795.00","309795.00","309795.00"
"United States Virgin Islands","24.54","20.47","18.43","19.16","19.31","19.46","19.61","19.76","19.91"
"Uruguay","798.00","1369.00","1731.30","1920.00","1947.00","1968.00","1989.00","2010.00","2031.00"
"Uzbekistan","2549.37","2961.46","3349.60","3549.40","3586.30","3612.14","3637.98","3663.82","3689.66"
"Vanuatu","442.30","442.30","442.30","442.30","442.30","442.30","442.30","442.30","442.30"
"Venezuela (Bolivarian Republic of)","52026.00","49151.00","47505.00","46683.00","46543.26","46428.18","46337.76","46272.00","46230.90"
"Viet Nam","9375.96","11784.10","13388.06","14061.86","14377.68","14415.39","14491.29","14567.19","14643.09"
"Wallis and Futuna Islands (Desk study)","5.80","5.81","5.82","5.83","5.83","5.83","5.83","5.83","5.83"
"Western Sahara (Desk study)","665.10","669.31","665.11","664.70","665.11","664.70","665.14","665.05","665.07"
"Yemen","549.00","549.00","549.00","549.00","549.00","549.00","549.00","549.00","549.00"
"Zambia","47412.00","47054.00","46696.00","45755.10","45566.80","45378.67","45190.46","45002.24","44814.03"
"Zimbabwe","18826.68","18365.98","17905.28","17674.93","17628.86","17582.79","17536.72","17490.65","17444.58"
"© FRA 2022","","","","","","","","",""
"2022-10-04","","","","","","","","",""
